NTDID,Agency,Active,SSW,UZA,UZA Name,Modes,TOS,JAN02,FEB02,MAR02,APR02,MAY02,JUN02,JUL02,AUG02,SEP02,OCT02,NOV02,DEC02,JAN03,FEB03,MAR03,APR03,MAY03,JUN03,JUL03,AUG03,SEP03,OCT03,NOV03,DEC03,JAN04,FEB04,MAR04,APR04,MAY04,JUN04,JUL04,AUG04,SEP04,OCT04,NOV04,DEC04,JAN05,FEB05,MAR05,APR05,MAY05,JUN05,JUL05,AUG05,SEP05,OCT05,NOV05,DEC05,JAN06,FEB06,MAR06,APR06,MAY06,JUN06,JUL06,AUG06,SEP06,OCT06,NOV06,DEC06,JAN07,FEB07,MAR07,APR07,MAY07,JUN07,JUL07,AUG07,SEP07,OCT07,NOV07,DEC07,JAN08,FEB08,MAR08,APR08,MAY08,JUN08,JUL08,AUG08,SEP08,OCT08,NOV08,DEC08,JAN09,FEB09,MAR09,APR09,MAY09,JUN09,JUL09,AUG09,SEP09,OCT09,NOV09,DEC09,JAN10,FEB10,MAR10,APR10,MAY10,JUN10,JUL10,AUG10,SEP10,OCT10,NOV10,DEC10,JAN11,FEB11,MAR11,APR11,MAY11,JUN11,JUL11,AUG11,SEP11,OCT11,NOV11,DEC11,JAN12,FEB12,MAR12,APR12,MAY12,JUN12,JUL12,AUG12,SEP12,OCT12,NOV12,DEC12,JAN13,FEB13,MAR13,APR13,MAY13,JUN13,JUL13,AUG13,SEP13,OCT13,NOV13,DEC13,JAN14,FEB14,MAR14,APR14,MAY14,JUN14,JUL14,AUG14,SEP14,OCT14,NOV14,DEC14,JAN15
3030,Washington Metropolitan Area Transit Authority,Active,N,8,"Washington, DC-VA-MD",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,26,24,24,22,25,25,24,24,31,37,37,38,37,37,38,37,38,38,37,37,37,38,36,37,37,42,42,42,42,42,44,43,43,43,43,43,42,42,43,46,43,44,43,43,45,45,41,43,42,40,40,42,41,44,42,43,44,44,45,43,42,43,42,42,43,47,48,48,47,44,43,42,44,43,0,0,0,0
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",CB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",CR,PT,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,138,143,138,138,138,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,131,131,131,131,131,131,142,142,142,142,142,142,142,142,142,142,142,142,142
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",DR,DO,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,27,27,27,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,17,17,34,34,34,34,34,34,34,34,34,34,34,34,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,38,37,35,35,35,36,40,35,34,34,39,41,41,41,41,41,41,44,40,41,42,39,38,41,41,41,40,38,35,35,35,34,34,,,,,,,,,
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",DR,PT,96,96,96,96,96,96,96,96,96,96,96,96,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,92,92,92,92,92,92,92,92,92,92,92,92,196,196,196,196,196,196,196,196,196,196,196,196,212,212,212,212,212,212,212,292,292,292,292,292,292,292,292,292,292,292,347,275,307,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,294,299,280,283,296,293,298,306,314,310,315,328,330,330,328,355,361,359,366,322,327,351,344,344,339,340,356,351,350,356,356,356,354,382,395,389,387,390,400,401,403,401,389
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",HR,DO,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,60,60,60,60,60,60,60,60,60,60,60,60,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",LR,DO,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,36,36,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",MB,DO,632,632,632,632,632,632,632,632,632,632,632,632,634,634,634,634,634,634,634,634,634,634,634,634,633,633,633,633,633,633,633,633,633,633,633,633,585,585,585,585,585,585,585,585,585,585,585,585,596,596,596,596,596,596,596,596,596,596,596,596,496,510,510,496,496,496,464,521,521,521,521,521,503,503,503,503,503,503,464,509,509,509,509,464,509,533,533,533,533,526,526,533,557,557,557,557,557,557,557,557,557,557,509,584,587,587,587,587,587,587,587,587,587,587,587,587,587,587,565,565,599,599,599,599,599,599,575,575,607,607,607,607,607,608,608,608,608,608,608,611,611,611,611,611,611,611,611,610,610,610,566,619,619,619,619,619,619
3034,Maryland Transit Administration,Active,N,19,"Baltimore, MD",MB,PT,143,143,143,143,143,143,143,143,143,143,143,143,184,185,185,185,185,185,184,184,184,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,171,171,171,171,171,171,171,171,171,171,171,171,180,180,180,180,180,180,180,180,180,180,180,180,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,205,205,205,205,205,205,205,171,205,205,205,205,175,172,172,172,172,172,172,171,171,171,171,171,175,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,192,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,Ohio Valley Regional Transportation Authority,Active,N,353,"Wheeling, WV-OH",DR,DO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3035,Ohio Valley Regional Transportation Authority,Active,N,353,"Wheeling, WV-OH",MB,DO,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
3036,Charlottesville Area Transit,Active,Y,317,"Charlottesville, VA",DR,PT,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,62,62,62,62,62,62,62,62,62,62,62,62,45,47,44,44,46,40,41,42,42,40,40,40,40,"123,239",40,40,41,0,0,0,0,0,0,0,12,13,11,10,26,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3036,Charlottesville Area Transit,Active,Y,317,"Charlottesville, VA",MB,DO,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,21,21,21,21,21,21,21,21,28,0,0,0,23,20,20,22,20,20,20,20,28,28,28,20,21,21,21,31,21,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,23,23,23,23,26,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,25,25,25,25,25,25,25,25,21,20,23,21,21,22,20,23,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,Annapolis Department of Transportation,Active,Y,19,"Baltimore, MD",MB,DO,18,18,18,18,18,18,18,18,18,20,20,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21,21,21,21,21,0,0,0,19,19,18,18,19,19,19,19,19,19,19,19,25,21,21,21,21,21,25,25,25,25,25,25,27,14,14,14,14,14,27,14,14,14,14,27,21,21,21,21,21,21,20,20,20,20,20,20,18,18,18,18,18,18,23,18,18,18,18,21,18,18,18,18,18,17,17,17,17,8,15,16,17,17,17,17,17,17,14,17,17,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,Allegany County Transit,Active,Y,484,"Cumberland, MD-WV-PA",DR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,11,13,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,7,7,7,7,7,9,9,9,9,9,9,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,Allegany County Transit,Active,Y,484,"Cumberland, MD-WV-PA",MB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,10,9,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,Washington County Transit,Active,Y,189,"Hagerstown, MD-WV-PA",DR,DO,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,Washington County Transit,Active,Y,189,"Hagerstown, MD-WV-PA",MB,DO,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,Westmoreland County Transit Authority,Active,N,27,"Pittsburgh, PA",DR,PT,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,27,27,31,26,26,22,21,23,21,22,23,17,17,15,17,18,18,13,16,17,16,16,15,26,31,28,18,18,18,18,18,18,18,18,18,15,17,15,17,17,17,14,14,16,18,15,17,16,17,18,18,19,17,19,21,21,22,21,15,14,25,22,23,22,23,23,16,21,24,20,20,21,22,22,22,28,21,23,22,39,39,33,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,Westmoreland County Transit Authority,Active,N,27,"Pittsburgh, PA",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,30,33,33,37,37,35,34,35,38,41,38,35,45,41,32,38,40,41,44,47,47,44,42,40,45,44,43,45,48,85,85,85,84,75,72,70,70,71,70,69,66,69,67,67,71,70,72,0
3044,Westmoreland County Transit Authority,Active,N,27,"Pittsburgh, PA",MB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,Westmoreland County Transit Authority,Active,N,27,"Pittsburgh, PA",MB,PT,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,31,31,31,31,31,31,31,31,25,31,31,31,27,27,27,27,27,27,27,27,27,27,27,27,4,4,4,4,4,4,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,0
3045,"JAUNT, Inc.",Active,N,317,"Charlottesville, VA",DR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,43,45,45,43,43,46,48,49,48,48,48,48,45,47,48,45,46,48,47,47,51,48,48,51,48,48,48,48,50,49,49,49,48,48,50,50,50,52,52,51,50,48,47,50,52,51,55,53,50,52,53,52,50,51,52,52,50,54,53,55,56,52,53,53,52,53,52,51,55,50,53,55,55,54,54,53,50,51,52,55,58,57,55,57
3048,Howard Transit,Active,N,8,"Washington, DC-VA-MD",DR,PT,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
3048,Howard Transit,Active,N,8,"Washington, DC-VA-MD",MB,PT,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,21,21,21,21,21
3050,"G G and C Bus Company, Inc.",Inactive,N,,,DR,DO,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,"G G and C Bus Company, Inc.",Inactive,N,,,MB,DO,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051,Ride-On Montgomery County Transit,Active,N,8,"Washington, DC-VA-MD",DR,PT,,,,,,,,,,,,,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,0,0,0,0,0,0,0,0,0,104,104,104,104,104,104,104,104,104,104,0,0,104,104,104,104,104,104,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54,54,54,54,54,54,116,116,116,116,116,116,114,114,114,114,114,114,34,34,34,32,32,30,30,30,30,30,30,30,30,30,28,31,31,31,28,30,31,31,31,28,31,31,29,28,25,29,,,,,,,,,,,,,,,,,,,
3051,Ride-On Montgomery County Transit,Active,N,8,"Washington, DC-VA-MD",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,80,80,80,80,80,80,80,80,82,82,82,82,82,82,82,82,82,82,82,82,80,80,80,80,74,74,74,,,,,,,,,,,,,,,,,,,
3051,Ride-On Montgomery County Transit,Active,N,8,"Washington, DC-VA-MD",MB,DO,,,,,,,,,,,,,192,192,192,192,192,192,192,192,192,192,192,192,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,207,207,207,207,207,207,207,207,198,198,198,198,214,214,214,214,214,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,225,225,307,307,307,307,307,307,307,307,307,307,298,298,298,294,294,294,294,294,294,294,294,294,294,294,290,290,290,290,289,289,275,275,275,275,275,275,275,275,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,281,281,281,281,281,281,281,281,281,281,281,281,282,282,282,282,282,282,282,282,282,282,282,282,282
3051,Ride-On Montgomery County Transit,Active,N,8,"Washington, DC-VA-MD",MB,PT,,,,,,,,,,,,,59,59,59,59,59,59,59,59,59,59,59,59,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,75,75,75,75,75,75,75,75,75,75,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,Centre Area Transportation Authority,Active,N,335,"State College, PA",DR,PT,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,8,7,7,8,8,8,8,8,8,8,8,8,8,9,8,9,9,9,9,8,8,9,10,10,10,10,10,9,9,9,9,9,8,8
3054,Centre Area Transportation Authority,Active,N,335,"State College, PA",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,Centre Area Transportation Authority,Active,N,335,"State College, PA",MB,DO,53,53,53,53,53,22,22,52,52,52,52,52,52,52,52,52,52,45,45,45,47,47,47,47,47,47,47,47,47,22,22,44,44,44,44,44,47,47,47,47,47,22,22,44,47,47,47,47,47,47,47,47,47,22,22,22,47,47,47,47,47,47,47,47,47,22,22,47,49,49,49,49,49,49,49,49,49,29,29,51,51,49,49,49,50,50,50,50,50,29,29,51,54,52,54,54,54,54,54,54,54,30,33,57,53,53,52,53,54,54,53,53,53,32,34,51,51,51,51,51,51,51,53,53,53,26,28,54,53,58,58,58,58,58,58,58,27,27,27,56,58,57,56,56,58,58,58,58,58,30,36,58,58,58,58,58,58
3054,Centre Area Transportation Authority,Active,N,335,"State College, PA",VP,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,7,8,8,8,8,10,10,11,11,14,14,14,14,14,14,14,14,15,15,15,15,15,17,17,17,16,15,15,16,15,16,16,16,16,17,17,17,16,16,18,20,22,22,22,23,23,23,24,24,28,27,30,32,30,29,29,30,30,30,31,31,32,33,36,37,40,41,41,41,42,42,42,43,43,43,43,43,44,45,45,45,45,45,45,45
3055,Shenango Valley Shuttle Service,Active,N,97,"Youngstown, OH-PA",DR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22
3055,Shenango Valley Shuttle Service,Active,N,97,"Youngstown, OH-PA",MB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3057,Pennsylvania Department of Transportation,Active,N,5,"Philadelphia, PA-NJ-DE-MD",CR,PT,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0
3058,City of Fairfax CUE Bus,Active,N,8,"Washington, DC-VA-MD",MB,DO,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3061,Mid Mon Valley Transit Authority,Active,N,417,"Monessen-California, PA",DR,DO,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,Mid Mon Valley Transit Authority,Active,N,417,"Monessen-California, PA",DR,PT,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,24,24,24,24,24,24,24,24,24,24,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,75,75,75,75,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3061,Mid Mon Valley Transit Authority,Active,N,417,"Monessen-California, PA",MB,DO,24,24,24,24,24,24,24,24,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
