NTDID,Agency,Mode,TOS,Active,Small Systems Waiver,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
2169,"Trans-Bridge Lines, Inc.",MB,DO,Active,N,Bethlehem,PA,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","2,898","5,443,000",2013,12,2013,,,,,,,
2170,"Vanpool of New Jersey, Inc.",VP,DO,Inactive,,,,,,,,,,2003,,,,,,,,,
2171,"Private One of New York, LLC, dba: New York Airport Service",MB,PT,Inactive,N,Brooklyn,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","2,898","5,443,000",2011,12,2011,"2,577,928","150,399",17.14," $	1,524,938 "," $	1,516,817 ", $	10.09 , $	10.14 
2172,"Centro of Oswego, Inc.",DR,DO,Active,N,Syracuse,NY,90,"Syracuse, NY",195,"412,317",92,"89,591",2013,3,2013,,,,,,,
2172,"Centro of Oswego, Inc.",MB,DO,Active,N,Syracuse,NY,90,"Syracuse, NY",195,"412,317",92,"89,591",2013,3,2013,"3,928,207","519,316",7.56," $	518,388 "," $	3,226,630 ", $	6.21 , $	1.00 
2175,Private Transportation Corporation,MB,DO,Active,N,Brooklyn,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",71,"2,465,326",2013,12,2013,,,,,,,
2175,Private Transportation Corporation,MB,PT,Active,N,Brooklyn,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",71,"2,465,326",2013,12,2013,"4,522,885","691,293",6.54," $	1,045,937 "," $	1,045,937 ", $	1.51 , $	1.51 
2177,"Adirondack Transit Lines, Inc,",CB,DO,Active,N,Hurley,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","8,510","6,508,105",2013,12,2013,"43,211,284","535,665",80.67," $	10,160,553 "," $	13,359,271 ", $	24.94 , $	18.97 
2177,"Adirondack Transit Lines, Inc,",MB,DO,Active,N,Hurley,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","8,510","6,508,105",2013,12,2013,,,,,,,
2178,Ulster County Area Transit,DR,DO,Active,N,Kingston,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566","1,126","181,670",2013,12,2013,"144,562","9,834",14.70," $	30,397 "," $	486,706 ", $	49.49 , $	3.09 
2178,Ulster County Area Transit,MB,DO,Active,N,Kingston,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566","1,126","181,670",2013,12,2013,"3,771,111","364,253",10.35," $	451,037 "," $	4,105,275 ", $	11.27 , $	1.24 
2178,Ulster County Area Transit,MB,PT,Active,N,Kingston,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566","1,126","181,670",2013,12,2013,,,,,,,
2179,"Hendrick Hudson Bus Lines, Inc.",MB,DO,Active,Y,Newburgh,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",132,"249,175",2013,12,2013,,,,,,,
2180,Atlantic Express,MB,DO,Inactive,N,Staten Island,NY,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861",840,"459,737",2006,6,2006,"3,870,138","693,076",5.58," $	2,790,925 "," $	3,635,278 ", $	5.25 , $	4.03 
2181,Roosevelt Island Operating Corporation of the State of New York,MB,DO,Inactive,N,,,,,,,,,2009,,,,,,,,,
2181,Roosevelt Island Operating Corporation of the State of New York,TR,DO,Inactive,N,,,,,,,,,2009,,,,,,,,,
2182,Town of Highlands Dial-A-Bus,DR,DO,Active,Y,Highland Falls,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",36,"13,000",2013,12,2013,0,"3,342",0.00," $	2,154 "," $	94,969 ", $	28.42 , $	0.64 
2183,Town of Monroe Dial-A-Bus,DR,DO,Active,Y,Monroe,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",24,"39,912",2013,12,2013,0,"24,088",0.00," $	16,410 "," $	394,255 ", $	16.37 , $	0.68 
2185,"Centro of Oneida, Inc.",DR,DO,Active,N,Syracruse,NY,268,"Utica, NY",62,"117,328",73,"154,159",2013,3,2013,"105,839","27,806",3.81," $	57,269 "," $	1,221,064 ", $	43.91 , $	2.06 
2185,"Centro of Oneida, Inc.",MB,DO,Active,N,Syracruse,NY,268,"Utica, NY",62,"117,328",73,"154,159",2013,3,2013,"3,981,261","1,170,926",3.40," $	1,111,053 "," $	7,458,496 ", $	6.37 , $	0.95 
2187,Village of Kiryas Joel,MB,DO,Active,Y,Monroe,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",1,"21,000",2013,12,2013,0,"85,482",0.00," $	95,828 "," $	587,101 ", $	6.87 , $	1.12 
2188,MTA Bus Company,MB,DO,Active,N,New York,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",244,"7,706,403",2013,12,2013,"370,473,512","124,951,185",2.96," $	199,186,670 "," $	561,943,193 ", $	4.50 , $	1.59 
2189,"BillyBey Ferry Company, LLC",FB,DO,Active,N,New York,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",70,"2,131,266",2013,12,2013,"3,173,776","1,524,022",2.08," $	8,645,200 "," $	8,645,200 ", $	5.67 , $	5.67 
2190,Port Imperial Ferry Corporation dba NY Waterway,FB,DO,Active,N,Weehawken,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",776,"3,658,455",2013,12,2013,"16,162,552","4,044,372",4.00," $	38,099,146 "," $	27,608,625 ", $	6.83 , $	9.42 
2190,Port Imperial Ferry Corporation dba NY Waterway,MB,DO,Active,N,Weehawken,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",776,"3,658,455",2013,12,2013,"12,636,490","3,035,689",4.16," $	1,028,677 "," $	9,092,477 ", $	3.00 , $	0.34 
2192,Bergen County Community Transportation,DR,DO,Active,N,Lodi,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",247,"905,116",2013,12,2013,"2,696,517","324,014",8.32,," $	5,098,869 ", $	15.74 ,
2192,Bergen County Community Transportation,MB,DO,Active,N,Lodi,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",247,"905,116",2013,12,2013,"76,361","7,335",10.41,," $	268,361 ", $	36.59 ,
2193,Cumberland Area Transit System,DR,DO,Active,N,Bridgeton,NJ,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",484,"156,898",2013,12,2013,"523,895","81,721",6.41,," $	2,543,273 ", $	31.12 ,
2195,Gloucester County Division of Transportation Services,DR,DO,Active,Y,West Deptford,NJ,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",329,"289,920",2013,12,2013,0,"47,870",0.00,," $	2,626,971 ", $	54.88 ,
2195,Gloucester County Division of Transportation Services,MB,DO,Active,Y,West Deptford,NJ,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",329,"289,920",2013,12,2013,0,"1,878",0.00,," $	31,186 ", $	16.61 ,
2196,Middlesex County Area Transit,DR,DO,Active,N,New Brunswick,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",310,"805,000",2013,12,2013,"2,281,786","154,869",14.73," $	157,908 "," $	4,324,692 ", $	27.92 , $	1.02 
2196,Middlesex County Area Transit,DT,PT,Active,N,New Brunswick,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",310,"805,000",2013,12,2013,"120,500","16,186",7.44, $	-00 ," $	305,913 ", $	18.90 , $	-00 
2196,Middlesex County Area Transit,MB,DO,Active,N,New Brunswick,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",310,"805,000",2013,12,2013,"2,503,650","423,109",5.92," $	104,464 "," $	2,299,146 ", $	5.43 , $	0.25 
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",DR,DO,Active,Y,Wood Ridge,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",107,"38,100",2013,6,2013,0,"20,316",0.00," $	53,137 "," $	454,540 ", $	22.37 , $	2.62 
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",DR,PT,Active,Y,Wood Ridge,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",107,"38,100",2013,6,2013,,,,,,,
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",MB,DO,Active,Y,Wood Ridge,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",107,"38,100",2013,6,2013,0,"203,901",0.00," $	738,048 "," $	1,022,569 ", $	5.02 , $	3.62 
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",MB,PT,Active,Y,Wood Ridge,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",107,"38,100",2013,6,2013,,,,,,,
2198,"TransOptions, Inc.",MB,DO,Active,Y,Cedar Knolls,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",112,"53,945",2013,12,2013,,,,,,,
2199,County of Atlantic,DR,DO,Active,N,Northfield,NJ,150,"Atlantic City, NJ",125,"248,402",567,"253,000",2013,12,2013,"977,111","115,553",8.46,," $	3,437,809 ", $	29.75 ,
2200,South Jersey Transportation Authority,DR,DO,Active,Y,Camden,NJ,150,"Atlantic City, NJ",125,"248,402","1,898","1,525,228",2013,12,2013,0,"19,191",0.00,," $	375,423 ", $	19.56 ,
2200,South Jersey Transportation Authority,MB,DO,Active,Y,Camden,NJ,150,"Atlantic City, NJ",125,"248,402","1,898","1,525,228",2013,12,2013,0,"211,565",0.00,," $	1,690,285 ", $	7.99 ,
2201,County of Cumberland,MB,DO,Active,Y,Bridgeton,NJ,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",677,"156,898",2013,12,2013,0,"62,237",0.00,," $	343,009 ", $	5.51 ,
2202,Essex County Division of Training and Employment,DR,DO,Active,Y,East Orange,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",126,"783,969",2013,12,2013,,,,,,,
2203,Cape May County Fare Free Transportation,DR,DO,Active,N,Cape May Court House,NJ,489,"Villas, NJ",34,"51,291",251,"96,304",2013,12,2013,"1,774,832","135,673",13.08,," $	3,188,306 ", $	23.50 ,
2203,Cape May County Fare Free Transportation,MB,DO,Active,N,Cape May Court House,NJ,489,"Villas, NJ",34,"51,291",251,"96,304",2013,12,2013,,,,,,,
2206,Nassau Inter County Express,DR,PT,Active,N,Garden City,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",285,"1,339,532",2013,12,2013,"2,844,867","371,974",7.65," $	1,103,507 "," $	17,953,274 ", $	48.26 , $	2.97 
2206,Nassau Inter County Express,MB,PT,Active,N,Garden City,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",285,"1,339,532",2013,12,2013,"139,456,428","28,477,964",4.90," $	44,105,826 "," $	99,630,452 ", $	3.50 , $	1.55 
2209,Somerset County Transportation,DR,DO,Active,N,Somerville,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",305,"324,194",2013,12,2013,"1,679,784","319,621",5.26," $	930,400 "," $	5,736,260 ", $	17.95 , $	2.91 
2209,Somerset County Transportation,MB,DO,Active,N,Somerville,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",305,"324,194",2013,12,2013,"481,091","149,029",3.23," $	245,448 "," $	2,113,803 ", $	14.18 , $	1.65 
2212,County of Hunterdon,DR,PT,Active,N,Flemington,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",360,"299,000",2013,12,2013,"1,181,717","128,541",9.19," $	311,380 "," $	1,833,881 ", $	14.27 , $	2.42 
2212,County of Hunterdon,MB,PT,Active,N,Flemington,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",360,"299,000",2013,12,2013,"116,750","13,765",8.48," $	13,513 "," $	212,921 ", $	15.47 , $	0.98 
2214,Town of Warwick Dial A Bus,DR,DO,Active,Y,Warwick,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",142,"50,269",2013,12,2013,0,"33,210",0.00," $	41,075 "," $	682,385 ", $	20.55 , $	1.24 
3001,Kanawha Valley Regional Transportation Authority,DR,DO,Active,N,Charleston,WV,214,"Charleston, WV",98,"153,199",902,"192,315",2013,6,2013,"349,314","28,467",12.27," $	49,447 "," $	958,768 ", $	33.68 , $	1.74 
3001,Kanawha Valley Regional Transportation Authority,MB,DO,Active,N,Charleston,WV,214,"Charleston, WV",98,"153,199",902,"192,315",2013,6,2013,"14,445,084","2,794,137",5.17," $	2,036,117 "," $	10,713,654 ", $	3.83 , $	0.73 
3002,The Tri-State Transit Authority,DR,DO,Active,N,Huntington,WV,178,"Huntington, WV-KY-OH",130,"202,637",130,"202,637",2013,6,2013,"235,111","35,677",6.59," $	104,074 "," $	743,191 ", $	20.83 , $	2.92 
3002,The Tri-State Transit Authority,MB,DO,Active,N,Huntington,WV,178,"Huntington, WV-KY-OH",130,"202,637",130,"202,637",2013,6,2013,"4,565,130","874,546",5.22," $	750,000 "," $	5,638,951 ", $	6.45 , $	0.86 
3003,Mid-Ohio Valley Transit Authority,DR,DO,Active,Y,Parkersburg,WV,411,"Parkersburg, WV-OH",42,"67,229",14,"42,241",2013,6,2013,0,"4,774",0.00, $	848 ," $	155,539 ", $	32.58 , $	0.18 
3003,Mid-Ohio Valley Transit Authority,MB,DO,Active,Y,Parkersburg,WV,411,"Parkersburg, WV-OH",42,"67,229",14,"42,241",2013,6,2013,0,"477,066",0.00," $	170,453 "," $	2,867,673 ", $	6.01 , $	0.36 
3006,Greater Richmond Transit Company,DR,DO,Active,N,Richmond,VA,45,"Richmond, VA",492,"953,556",227,"449,572",2013,6,2013,,,,,,,
3006,Greater Richmond Transit Company,DR,PT,Active,N,Richmond,VA,45,"Richmond, VA",492,"953,556",227,"449,572",2013,6,2013,"3,258,380","343,740",9.48," $	641,325 "," $	6,962,265 ", $	20.25 , $	1.87 
3006,Greater Richmond Transit Company,MB,DO,Active,N,Richmond,VA,45,"Richmond, VA",492,"953,556",227,"449,572",2013,6,2013,"31,448,123","8,032,266",3.92," $	9,637,643 "," $	38,178,547 ", $	4.75 , $	1.20 
3006,Greater Richmond Transit Company,MB,PT,Active,N,Richmond,VA,45,"Richmond, VA",492,"953,556",227,"449,572",2013,6,2013,,,,,,,
3006,Greater Richmond Transit Company,VP,PT,Active,N,Richmond,VA,45,"Richmond, VA",492,"953,556",227,"449,572",2013,6,2013,"28,560,020","407,572",70.07," $	1,829,916 "," $	2,440,894 ", $	5.99 , $	4.49 
3007,Greater Roanoke Transit Company,CB,DO,Active,N,Roanoke,VA,172,"Roanoke, VA",124,"210,111",43,"97,032",2013,6,2013,"540,852","15,394",35.13," $	27,708 "," $	279,863 ", $	18.18 , $	1.80 
3007,Greater Roanoke Transit Company,DR,PT,Active,N,Roanoke,VA,172,"Roanoke, VA",124,"210,111",43,"97,032",2013,6,2013,"560,255","65,894",8.50," $	167,319 "," $	1,619,189 ", $	24.57 , $	2.54 
3007,Greater Roanoke Transit Company,MB,DO,Active,N,Roanoke,VA,172,"Roanoke, VA",124,"210,111",43,"97,032",2013,6,2013,"10,600,029","2,382,029",4.45," $	2,033,978 "," $	7,135,589 ", $	3.00 , $	0.85 
3008,Greater Lynchburg Transit Company,DR,DO,Active,N,Lynchburg,VA,271,"Lynchburg, VA",89,"116,636",72,"80,846",2013,6,2013,"116,149","26,518",4.38," $	88,804 "," $	697,193 ", $	26.29 , $	3.35 
3008,Greater Lynchburg Transit Company,MB,DO,Active,N,Lynchburg,VA,271,"Lynchburg, VA",89,"116,636",72,"80,846",2013,6,2013,"7,807,451","2,296,309",3.40," $	994,655 "," $	5,582,429 ", $	2.43 , $	0.43 
3009,Petersburg Area Transit,DR,DO,Active,Y,Petersburg,VA,45,"Richmond, VA",492,"953,556",7,"32,948",2013,6,2013,0,"6,675",0.00," $	9,377 "," $	163,824 ", $	24.54 , $	1.40 
3009,Petersburg Area Transit,MB,DO,Active,Y,Petersburg,VA,45,"Richmond, VA",492,"953,556",7,"32,948",2013,6,2013,0,"579,156",0.00," $	509,894 "," $	2,350,242 ", $	4.06 , $	0.88 
3010,Lehigh and Northampton Transportation Authority,DR,PT,Active,N,Allentown,PA,61,"Allentown, PA-NJ",346,"664,651",106,"389,000",2013,6,2013,"5,627,676","419,584",13.41," $	829,161 "," $	11,080,788 ", $	26.41 , $	1.98 
3010,Lehigh and Northampton Transportation Authority,MB,DO,Active,N,Allentown,PA,61,"Allentown, PA-NJ",346,"664,651",106,"389,000",2013,6,2013,"14,403,764","4,926,294",2.92," $	4,345,632 "," $	20,484,272 ", $	4.16 , $	0.88 
3011,Altoona Metro Transit,DR,DO,Active,N,Altoona,PA,359,"Altoona, PA",37,"79,930",25,"69,608",2013,6,2013,"1,240",287,4.32, $	860 ," $	18,880 ", $	65.78 , $	3.00 
3011,Altoona Metro Transit,DR,PT,Active,N,Altoona,PA,359,"Altoona, PA",37,"79,930",25,"69,608",2013,6,2013,"59,317","12,332",4.81," $	36,966 "," $	160,158 ", $	12.99 , $	3.00 
3011,Altoona Metro Transit,MB,DO,Active,N,Altoona,PA,359,"Altoona, PA",37,"79,930",25,"69,608",2013,6,2013,"2,369,860","675,174",3.51," $	748,315 "," $	3,974,944 ", $	5.89 , $	1.11 
3011,Altoona Metro Transit,MB,PT,Active,N,Altoona,PA,359,"Altoona, PA",37,"79,930",25,"69,608",2013,6,2013,,,,,,,
3012,Cambria County Transit Authority,DR,DO,Active,N,Johnstown,PA,400,"Johnstown, PA",39,"69,014",60,"80,508",2013,6,2013,"409,023","34,331",11.91," $	649,209 "," $	831,219 ", $	24.21 , $	18.91 
3012,Cambria County Transit Authority,DR,PT,Active,N,Johnstown,PA,400,"Johnstown, PA",39,"69,014",60,"80,508",2013,6,2013,"123,462","31,280",3.95,," $	320,295 ", $	10.24 ,
3012,Cambria County Transit Authority,IP,DO,Active,N,Johnstown,PA,400,"Johnstown, PA",39,"69,014",60,"80,508",2013,6,2013,"14,787","86,984",0.17," $	130,011 "," $	538,210 ", $	6.19 , $	1.49 
3012,Cambria County Transit Authority,MB,DO,Active,N,Johnstown,PA,400,"Johnstown, PA",39,"69,014",60,"80,508",2013,6,2013,"4,903,243","1,168,720",4.20," $	782,080 "," $	7,451,377 ", $	6.38 , $	0.67 
3013,Erie Metropolitan Transit Authority,DR,DO,Active,N,Erie,PA,183,"Erie, PA",82,"196,611",77,"189,872",2013,6,2013,"1,511,716","236,048",6.40," $	3,970,537 "," $	4,990,972 ", $	21.14 , $	16.82 
3013,Erie Metropolitan Transit Authority,MB,DO,Active,N,Erie,PA,183,"Erie, PA",82,"196,611",77,"189,872",2013,6,2013,"9,971,800","3,455,993",2.89," $	2,616,276 "," $	12,441,005 ", $	3.60 , $	0.76 
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),DR,DO,Active,N,Harrisburg,PA,86,"Harrisburg, PA",260,"444,474",137,"503,506",2013,6,2013,"1,281,216","123,792",10.35," $	1,057,519 "," $	3,082,057 ", $	24.90 , $	8.54 
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),DR,PT,Active,N,Harrisburg,PA,86,"Harrisburg, PA",260,"444,474",137,"503,506",2013,6,2013,"600,085","67,588",8.88," $	64,085 "," $	1,453,392 ", $	21.50 , $	0.95 
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),DT,PT,Active,N,Harrisburg,PA,86,"Harrisburg, PA",260,"444,474",137,"503,506",2013,6,2013,,,,,,,
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),MB,DO,Active,N,Harrisburg,PA,86,"Harrisburg, PA",260,"444,474",137,"503,506",2013,6,2013,"15,413,961","2,647,819",5.82," $	3,225,900 "," $	14,025,026 ", $	5.30 , $	1.22 
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),MB,PT,Active,N,Harrisburg,PA,86,"Harrisburg, PA",260,"444,474",137,"503,506",2013,6,2013,"97,579","26,603",3.67," $	119,585 "," $	223,881 ", $	8.42 , $	4.50 
3015,Luzerne County Transportation Authority,DR,DO,Active,N,Kingston,PA,99,"Scranton, PA",171,"381,502",56,"202,500",2013,6,2013,"848,006","169,247",5.01," $	173,203 "," $	3,867,026 ", $	22.85 , $	1.02 
3015,Luzerne County Transportation Authority,DR,PT,Active,N,Kingston,PA,99,"Scranton, PA",171,"381,502",56,"202,500",2013,6,2013,"30,132","6,660",4.52,," $	82,412 ", $	12.37 ,
3015,Luzerne County Transportation Authority,MB,DO,Active,N,Kingston,PA,99,"Scranton, PA",171,"381,502",56,"202,500",2013,6,2013,"4,408,820","1,182,000",3.73," $	1,088,483 "," $	7,286,650 ", $	6.16 , $	0.92 
3018,Red Rose Transit Authority,DR,PT,Active,N,Lancaster,PA,91,"Lancaster, PA",248,"402,004",952,"420,920",2013,6,2013,"3,039,675","311,467",9.76," $	268,127 "," $	7,112,029 ", $	22.83 , $	0.86 
3018,Red Rose Transit Authority,MB,DO,Active,N,Lancaster,PA,91,"Lancaster, PA",248,"402,004",952,"420,920",2013,6,2013,"8,204,601","1,886,115",4.35," $	2,682,688 "," $	9,440,269 ", $	5.01 , $	1.42 
3019,Southeastern Pennsylvania Transportation Authority,CR,DO,Active,N,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",836,"3,355,152",2013,6,2013,"502,346,133","37,167,694",13.52," $	137,432,299 "," $	246,824,042 ", $	6.64 , $	3.70 
3019,Southeastern Pennsylvania Transportation Authority,DR,PT,Active,N,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",836,"3,355,152",2013,6,2013,"12,734,024","1,713,724",7.43," $	5,919,444 "," $	51,792,245 ", $	30.22 , $	3.45 
3019,Southeastern Pennsylvania Transportation Authority,HR,DO,Active,N,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",836,"3,355,152",2013,6,2013,"448,944,738","101,035,800",4.44," $	95,724,944 "," $	186,688,392 ", $	1.85 , $	0.95 
3019,Southeastern Pennsylvania Transportation Authority,LR,DO,Active,N,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",836,"3,355,152",2013,6,2013,,,,,,,
3019,Southeastern Pennsylvania Transportation Authority,MB,DO,Active,N,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",836,"3,355,152",2013,6,2013,"546,413,904","184,863,203",2.96," $	172,205,416 "," $	596,069,929 ", $	3.22 , $	0.93 
3019,Southeastern Pennsylvania Transportation Authority,MB,PT,Active,N,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",836,"3,355,152",2013,6,2013,,,,,,,
3019,Southeastern Pennsylvania Transportation Authority,SR,DO,Active,N,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",836,"3,355,152",2013,6,2013,"69,345,484","27,430,501",2.53," $	30,589,805 "," $	65,509,761 ", $	2.39 , $	1.12 
3019,Southeastern Pennsylvania Transportation Authority,TB,DO,Active,N,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD","1,981","5,441,567",836,"3,355,152",2013,6,2013,"12,095,949","6,228,431",1.94," $	5,608,233 "," $	13,169,981 ", $	2.11 , $	0.90 
3022,Port Authority of Allegheny County,DR,PT,Active,N,Pittsburgh,PA,27,"Pittsburgh, PA",905,"1,733,853",775,"1,415,244",2013,6,2013,"13,260,334","1,716,110",7.73," $	11,084,156 "," $	36,260,784 ", $	21.13 , $	6.46 
3022,Port Authority of Allegheny County,IP,DO,Active,N,Pittsburgh,PA,27,"Pittsburgh, PA",905,"1,733,853",775,"1,415,244",2013,6,2013,"83,861","717,641",0.12," $	892,269 "," $	748,282 ", $	1.04 , $	1.24 
3022,Port Authority of Allegheny County,IP,PT,Active,N,Pittsburgh,PA,27,"Pittsburgh, PA",905,"1,733,853",775,"1,415,244",2013,6,2013,,,,,,,
3022,Port Authority of Allegheny County,LR,DO,Active,N,Pittsburgh,PA,27,"Pittsburgh, PA",905,"1,733,853",775,"1,415,244",2013,6,2013,"33,072,016","8,032,051",4.12," $	9,786,533 "," $	51,528,512 ", $	6.42 , $	1.22 
3022,Port Authority of Allegheny County,MB,DO,Active,N,Pittsburgh,PA,27,"Pittsburgh, PA",905,"1,733,853",775,"1,415,244",2013,6,2013,"207,301,290","53,088,096",3.90," $	78,769,406 "," $	270,445,022 ", $	5.09 , $	1.48 
3023,Beaver County Transit Authority,DR,DO,Active,N,Rochester,PA,27,"Pittsburgh, PA",905,"1,733,853",440,"170,539",2013,6,2013,"768,710","79,657",9.65," $	844,893 "," $	2,274,716 ", $	28.56 , $	10.61 
3023,Beaver County Transit Authority,MB,DO,Active,N,Rochester,PA,27,"Pittsburgh, PA",905,"1,733,853",440,"170,539",2013,6,2013,"9,637,814","927,565",10.39," $	1,429,714 "," $	4,548,586 ", $	4.90 , $	1.54 
3024,Berks Area Reading Transportation Authority,DR,DO,Active,N,Reading,PA,140,"Reading, PA",104,"266,254",864,"411,442",2013,6,2013,"1,139,360","188,492",6.04," $	451,114 "," $	3,978,061 ", $	21.10 , $	2.39 
3024,Berks Area Reading Transportation Authority,DR,PT,Active,N,Reading,PA,140,"Reading, PA",104,"266,254",864,"411,442",2013,6,2013,"427,791","70,885",6.04," $	174,225 "," $	1,552,823 ", $	21.91 , $	2.46 
3024,Berks Area Reading Transportation Authority,MB,DO,Active,N,Reading,PA,140,"Reading, PA",104,"266,254",864,"411,442",2013,6,2013,"8,336,418","3,145,899",2.65," $	2,810,217 "," $	10,263,048 ", $	3.26 , $	0.89 
3025,County of Lackawanna Transit System,DR,DO,Active,N,Scranton,PA,99,"Scranton, PA",171,"381,502",140,"339,009",2013,6,2013,"183,508","44,758",4.10," $	37,918 "," $	1,979,870 ", $	44.24 , $	0.85 
3025,County of Lackawanna Transit System,DR,PT,Active,N,Scranton,PA,99,"Scranton, PA",171,"381,502",140,"339,009",2013,6,2013,"24,316","4,503",5.40, $	630 ," $	143,332 ", $	31.83 , $	0.14 
3025,County of Lackawanna Transit System,MB,DO,Active,N,Scranton,PA,99,"Scranton, PA",171,"381,502",140,"339,009",2013,6,2013,"5,045,819","1,157,537",4.36," $	1,141,234 "," $	7,537,671 ", $	6.51 , $	0.99 
3025,County of Lackawanna Transit System,MB,PT,Active,N,Scranton,PA,99,"Scranton, PA",171,"381,502",140,"339,009",2013,6,2013,"248,129","54,958",4.51," $	17,225 "," $	924,504 ", $	16.82 , $	0.31 
3026,Williamsport Bureau of Transportation,DR,DO,Active,N,Williamsport,PA,462,"Williamsport, PA",27,"56,142",89,"69,764",2013,6,2013,"1,785",197,9.06, $	788 ," $	5,867 ", $	29.78 , $	4.00 
3026,Williamsport Bureau of Transportation,DR,PT,Active,N,Williamsport,PA,462,"Williamsport, PA",27,"56,142",89,"69,764",2013,6,2013,"6,226",747,8.33," $	2,988 "," $	18,327 ", $	24.53 , $	4.00 
3026,Williamsport Bureau of Transportation,MB,DO,Active,N,Williamsport,PA,462,"Williamsport, PA",27,"56,142",89,"69,764",2013,6,2013,"6,730,535","1,357,932",4.96," $	843,507 "," $	5,970,035 ", $	4.40 , $	0.62 
3027,York County Transportation Authority,CB,DO,Active,N,York,PA,158,"York, PA",132,"232,045",911,"381,751",2013,6,2013,"1,990,368","41,466",48.00," $	118,883 "," $	557,406 ", $	13.44 , $	2.87 
3027,York County Transportation Authority,CB,PT,Active,N,York,PA,158,"York, PA",132,"232,045",911,"381,751",2013,6,2013,"2,209,696","69,053",32.00," $	253,588 "," $	977,644 ", $	14.16 , $	3.67 
